scope,variable,H5_N,H5_missing,H5_mean,H5_median,H5_std,H5_q25,H5_q75,H5_IQR,H7_N,H7_missing,H7_mean,H7_median,H7_std,H7_q25,H7_q75,H7_IQR,mean_difference,median_difference,IQR_difference,standardized_mean_difference,KS
S1_matched_entries,atr_change_1,794,0,-0.00020665236195946087,-0.008360222627500524,0.036042882398692834,-0.026289104361016946,0.016351340091127542,0.04264044445214449,63,0,-0.005190189763480241,-0.012443217993201472,0.03337689452987515,-0.028748936528803948,0.01161201107205767,0.04036094760086162,-0.004983537401520781,-0.004082995365700948,-0.0022794968512828695,-0.14347111671799959,0.12284594778297542
S1_matched_entries,atr_change_8,794,0,0.05697389725624393,0.029360995628313957,0.21069543744973118,-0.10028310185454706,0.18067895863044076,0.28096206048498784,63,0,-0.030901773605734782,-0.06905790752028385,0.1781854271246226,-0.1496976798164401,0.036695905072990254,0.18639358488943036,-0.08787567086197871,-0.0984189031485978,-0.09456847559555748,-0.45037031857995874,0.25032985486385995
S1_matched_entries,slope_atr_4,794,0,0.17370756776859328,0.15314012539399655,0.333339966487035,-0.05461748577365577,0.3908940537954432,0.44551153956909895,63,0,-0.07958889419744472,-0.07991200966551268,0.22981078704744867,-0.25162413683656737,0.09298775019201763,0.34461188702858503,-0.253296461966038,-0.23305213505950922,-0.10089965254051392,-0.8847424144143939,0.3677182039902443
S1_matched_entries,slope_atr_16,794,0,0.0748790483923348,0.060235422287807844,0.11349336877275282,-0.00679322962517038,0.14564792004681412,0.1524411496719845,63,0,0.022089595488613882,0.024343653816593817,0.0630882969083898,-0.018744408268003738,0.06924099943049732,0.08798540769850105,-0.05278945290372091,-0.03589176847121403,-0.06445574197348344,-0.5749393934065027,0.29568989644556387
S1_matched_entries,range_pos_16,794,0,0.742852387524828,0.7503894080996831,0.21580450108241525,0.5918919914536198,0.8777610875767206,0.28586909612310074,63,0,0.48325883083238946,0.4968152866241831,0.21215006458046665,0.36969318072517704,0.6261888111888314,0.25649563046365437,-0.2595935566924385,-0.2535741214755,-0.029373465659446374,-1.2131385585378003,0.5291871576506337
S1_matched_entries,h1_er_8,794,0,0.27450206761866724,0.23790009490120123,0.20273231154087565,0.10964614324106856,0.41668861179504424,0.30704246855397566,63,0,0.3389444070410726,0.31594202898544044,0.22449704989306357,0.1410749506903188,0.48407566678054476,0.343000716090226,0.06444233942240535,0.0780419340842392,0.03595824753625032,0.30128490500381117,0.16358802127064087
S1_matched_entries,h1_atr_change_4,794,0,0.03428019484866623,0.02636314708076437,0.13351183367984928,-0.08231799499739689,0.119314815753775,0.2016328107511719,63,0,-0.024666141157385257,-0.04928835398071074,0.1009359688720159,-0.09498553569406137,0.022712515068360584,0.11769805076242196,-0.05894633600605148,-0.07565150106147511,-0.08393475998874994,-0.49806759325174593,0.27879732917516287
S1_matched_entries,h1_slope_atr_8,794,0,0.0499466943130567,0.03680845625967395,0.1397908553886796,-0.044991708566975215,0.13371996406207168,0.17871167262904689,63,0,0.10895063428494256,0.11537241921607509,0.17152471730409377,-0.026915463469054095,0.22534838492295833,0.25226384839201244,0.05900393997188586,0.07856396295640114,0.07355217576296555,0.3771077830331666,0.2552676822198232
S1_matched_entries,h3_er_8,794,0,0.3872166370655002,0.3604941153079796,0.2510382058279448,0.18384956727449236,0.5595928248451272,0.3757432575706348,63,0,0.4256014864418543,0.3996075866579554,0.279540092897355,0.18308242509256611,0.6728230545858169,0.4897406294932508,0.03838484937635411,0.03911347134997584,0.113997371922616,0.14448229728374687,0.13685978169605373
S1_matched_entries,h3_atr_change_4,794,0,0.06359753798637159,0.031422492066868424,0.14278820363578426,-0.04660597525459101,0.14728763525212474,0.19389361050671575,63,0,0.05975462903830817,0.02410087470748845,0.1220902396136061,-0.034367618410505396,0.14408268206153596,0.17845030047204136,-0.0038429089480634185,-0.007321617359379973,-0.01544331003467439,-0.028928211875407395,0.09117988085242493
S1_matched_entries,h3_slope_atr_8,794,0,0.07277240234104415,0.07584884409596233,0.27896633420911604,-0.11168159889619124,0.25901418771616436,0.3706957866123556,63,0,0.1937384603824135,0.16243142589687343,0.30246303511664047,-0.01328706277680402,0.45628721734110356,0.4695742801179076,0.12096605804136934,0.0865825818009111,0.098878493505552,0.4157595360572941,0.2164847467114469
S1_matched_entries,state_age,794,0,8.05037783375315,5.0,10.920438217089941,2.0,8.0,6.0,63,0,15.793650793650794,14.0,14.311239357253593,5.5,22.5,17.0,7.743272959897645,9.0,11.0,0.6083055778030745,0.3981248250769661
S1_matched_entries,bars_since_transition,759,35,6.955204216073781,3.0,10.859286903957479,1.0,7.0,6.0,62,1,14.85483870967742,13.0,14.419757363859329,4.25,21.75,17.5,7.899634493603639,10.0,11.5,0.6188861882344284,0.40609460665561653
S1_matched_entries,max_posterior,794,0,0.9066351734133624,0.9904409845475441,0.141103110079956,0.8495974248619506,0.9998463516946947,0.15024892683274416,63,0,0.8736182926759702,0.9627228558131188,0.15617833830717998,0.7561044056642201,0.9985731763001342,0.2424687706359141,-0.033016880737392174,-0.027718128734425362,0.09221984380316994,-0.22184035102066985,0.15057374755107755
S1_matched_entries,posterior_margin,794,0,0.8145032301490865,0.9809970376339753,0.28042315223474934,0.6992233307956452,0.9997002751829913,0.30047694438734607,63,0,0.7480872234799556,0.9254731774475364,0.31218890140274896,0.5124341193108117,0.9971638586030134,0.48472973929220164,-0.06641600666913094,-0.055523860186438845,0.18425279490485558,-0.22382533615771544,0.15057374755107755
S1_matched_entries,posterior_entropy,794,0,0.20721378924410347,0.05579307838500065,0.25389695074818674,0.001517219695612275,0.432039949325264,0.43052272962965177,63,0,0.27003205634227695,0.1594176278288498,0.2711154458472996,0.01086521970284835,0.5571640415783566,0.5462988218755083,0.06281826709817348,0.10362454944384915,0.1157760922458565,0.23917344060220394,0.15183319339490625
