entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,deal_profit,swap,commission,outcome,required_state_timestamp,state_timestamp,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,continuity_segment_id,state_match_status
2016-01-25 17:10:34+00:00,1.0828,80,127,2016-01-25 18:02:25+00:00,1.08332,81,0.48,0.48,0.0,0.0,WIN,2016-01-25 17:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-26 02:53:36+00:00,1.08497,82,131,2016-01-26 06:24:04+00:00,1.08548,83,0.47,0.47,0.0,0.0,WIN,2016-01-26 02:45:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY
2016-01-26 09:20:45+00:00,1.08362,84,133,2016-01-26 09:28:17+00:00,1.08413,85,0.47,0.47,0.0,0.0,WIN,2016-01-26 09:15:00+00:00,2016-01-26 09:15:00+00:00,S2,0.00020996976648407674,0.000531871119844293,0.9992581591136724,0.9992581591136724,0.006529539026461943,0.9987262879938281,2.0,,3.0,MATCHED
2016-01-26 14:03:44+00:00,1.08222,86,136,2016-01-26 14:25:15+00:00,1.08302,87,0.74,0.74,0.0,0.0,WIN,2016-01-26 14:00:00+00:00,2016-01-26 14:00:00+00:00,S2,1.8210930856236076e-05,0.00015505595122791374,0.9998267331179164,0.9998267331179164,0.0017321047468409072,0.9996716771666885,21.0,,3.0,MATCHED
2016-01-27 11:04:03+00:00,1.0869,88,144,2016-01-27 11:35:33+00:00,1.08742,89,0.48,0.48,0.0,0.0,WIN,2016-01-27 11:00:00+00:00,2016-01-27 11:00:00+00:00,S1,1.9611103570702423e-06,0.9692941077943001,0.03070393109534283,0.9692941077943001,0.13720832471421401,0.9385901766989573,10.0,9.0,3.0,MATCHED
2016-01-27 23:00:07+00:00,1.09009,90,149,2016-01-28 00:02:44+00:00,1.09059,91,0.23,0.46,-0.23,0.0,WIN,2016-01-27 23:00:00+00:00,2016-01-27 23:00:00+00:00,S1,0.0009660650283719392,0.9990334814582794,4.5351334931968486e-07,0.9990334814582794,0.007679368791546889,0.9980674164299075,8.0,7.0,3.0,MATCHED
2016-01-28 05:14:08+00:00,1.08809,92,152,2016-01-28 06:03:46+00:00,1.0886,93,0.47,0.47,0.0,0.0,WIN,2016-01-28 05:00:00+00:00,2016-01-28 05:00:00+00:00,S2,7.934293689743912e-06,4.5746315933522106e-05,0.9999463193903759,0.9999463193903759,0.0006039774779758361,0.9999005730744424,10.0,9.0,3.0,MATCHED
2016-01-28 20:22:12+00:00,1.09481,94,158,2016-01-29 03:39:42+00:00,1.09081,95,-3.75,-3.67,-0.08,0.0,LOSS,2016-01-28 20:15:00+00:00,2016-01-28 20:15:00+00:00,S1,7.5949904455980596e-06,0.9999606728721561,3.173213739752984e-05,0.9999606728721561,0.00045754347630641524,0.9999289407347586,44.0,43.0,3.0,MATCHED
2016-01-29 05:09:49+00:00,1.09208,96,160,2016-01-29 12:06:03+00:00,1.09259,97,0.47,0.47,0.0,0.0,WIN,2016-01-29 05:00:00+00:00,2016-01-29 05:00:00+00:00,S0,1.0,2.039593893328645e-24,1.4239009364212918e-16,1.0,5.195524329666691e-15,0.9999999999999999,6.0,5.0,3.0,MATCHED
2016-01-29 16:11:39+00:00,1.08142,98,162,2016-01-29 16:13:44+00:00,1.08193,99,0.47,0.47,0.0,0.0,WIN,2016-01-29 16:00:00+00:00,2016-01-29 16:00:00+00:00,S2,0.09830088039345099,2.8286210529436446e-51,0.90169911960655,0.90169911960655,0.3213335056523682,0.803398239213099,9.0,8.0,3.0,MATCHED
