period,state,variable,WIN_N,WIN_total,WIN_missing,WIN_mean,WIN_median,WIN_q25,WIN_q75,WIN_IQR,LOSS_N,LOSS_total,LOSS_missing,LOSS_mean,LOSS_median,LOSS_q25,LOSS_q75,LOSS_IQR,mean_difference,median_difference,cliffs_delta,hedges_g
2017,S0,max_posterior,7,7,0,0.9883105556853907,0.9999998482275751,0.9998673290546982,0.999999999423899,0.00013267036920083797,5,5,0,0.9962089803110281,0.999999877264362,0.9993046777673388,0.9999999833841074,0.0006953056167686711,0.00789842462563739,2.9036786863834152e-08,-0.2,0.298701893234566
2017,S0,posterior_margin,7,7,0,0.9766211113708047,0.9999996964551487,0.9997346581094033,0.9999999988478733,0.00026534073846995465,5,5,0,0.9924179606315396,0.9999997545287238,0.9986093555346762,0.9999999668156312,0.0013906112809549676,0.01579684926073499,5.8073575059935933e-08,-0.2,0.2987018934088953
2017,S0,posterior_entropy,7,7,0,0.04072819718065641,2.5347336190124257e-06,1.2485117225498623e-08,0.00126516640053955,0.0012651539154223245,5,5,0,0.01938793627106208,2.0758564469512558e-06,3.145799788551897e-07,0.00575086238449,0.005750547804511145,-0.021340260909594327,-4.588771720611699e-07,0.2,-0.22790983156453645
2017,S1,state_age,122,122,0,10.295081967213115,5.0,2.0,9.0,7.0,3,3,0,3.3333333333333335,4.0,2.5,4.5,2.0,-6.961748633879781,-1.0,-0.319672131147541,-0.47951706120427595
2017,S1,bars_since_transition,114,122,8,8.807017543859649,4.0,1.0,8.0,7.0,3,3,0,2.3333333333333335,3.0,1.5,3.5,2.0,-6.473684210526315,-1.0,-0.30994152046783624,-0.4640558497653436
2017,S1,max_posterior,122,122,0,0.9199832602008778,0.9954114876068574,0.894191878799625,0.9998407305207229,0.10564885172109784,3,3,0,0.65468780439253,0.5401461925515273,0.48906194481347615,0.7630428580510826,0.2739809132376065,-0.2652954558083478,-0.4552652950553301,-0.7049180327868853,-1.9541583006505208
2017,S1,posterior_margin,122,122,0,0.840364708444503,0.9910061931078663,0.7950652978157668,0.9996822876398891,0.20461698982412224,3,3,0,0.4035333394013949,0.1563654200685497,0.118353777311555,0.5651289418248122,0.4467751645132572,-0.43683136904310804,-0.8346407730393166,-0.6666666666666666,-1.627159092908638
2017,S1,posterior_entropy,122,122,0,0.1812500909665652,0.029931433339672048,0.0015567016476607,0.3642263440725895,0.36266964242492883,3,3,0,0.6150388220450207,0.6904243165957573,0.3850598907514544,0.8827105006139553,0.49765060986250087,0.4337887310784555,0.6604928832560852,0.7049180327868853,1.7321900701802697
2017,S2,state_age,144,144,0,9.604166666666666,7.0,3.0,13.0,10.0,36,36,0,11.11111111111111,11.0,6.0,12.25,6.25,1.5069444444444446,4.0,0.16666666666666666,0.1782985943710014
2017,S2,bars_since_transition,132,144,12,8.0,6.0,2.0,11.25,9.25,36,36,0,10.11111111111111,10.0,5.0,11.25,6.25,2.1111111111111107,4.0,0.20202020202020202,0.2655144448026692
2017,S2,max_posterior,144,144,0,0.9370830545685472,0.9992319001203418,0.9659750343311695,0.9999866681818841,0.034011633850714595,36,36,0,0.9777767428009807,0.999976618799598,0.9996362073120333,0.9999918301981734,0.0003556228861401056,0.04069368823243347,0.0007447186792561844,0.28510802469135804,0.3395406763853633
2017,S2,posterior_margin,144,144,0,0.874495522791536,0.9984678005118264,0.9319542269655183,0.999974912897854,0.06802068593233568,36,36,0,0.9555545189249524,0.9999539972175784,0.9992917914777757,0.9999836603963459,0.0006918689185702043,0.08105899613341638,0.0014861967057520076,0.2789351851851852,0.3390538130649316
2017,S2,posterior_entropy,144,144,0,0.13540876928048998,0.0063009603677246,0.000168924102425475,0.14847311995916465,0.14830419585673918,36,36,0,0.0519794127587693,0.0002755069478462,0.00010386450222907667,0.003310881981508325,0.003207017479279248,-0.08342935652172068,-0.0060254534198784,-0.2881944444444444,-0.38046579332946745
2018,S0,state_age,8,8,0,3.125,2.0,1.0,2.5,1.5,4,4,0,5.0,5.0,3.5,6.5,3.0,1.875,3.0,0.5625,0.5062655243957058
2018,S0,bars_since_transition,8,8,0,2.125,1.0,0.0,1.5,1.5,4,4,0,4.0,4.0,2.5,5.5,3.0,1.875,3.0,0.5625,0.5062655243957058
2018,S0,max_posterior,8,8,0,0.9580298953813442,0.999939364437132,0.9660126250909675,0.9999691332340501,0.0339565081430826,4,4,0,0.897946167773987,0.9679937246926296,0.8659664790649411,0.9999734134016753,0.13400693433673427,-0.06008372760735725,-0.031945639744502485,0.0,-0.49348237520269334
2018,S0,posterior_margin,8,8,0,0.9160597909989783,0.9998787288742633,0.9320252515996748,0.9999382664681012,0.06791301486842649,4,4,0,0.7958923355480076,0.935987449385326,0.7319329581298827,0.9999468268034509,0.26801386867356825,-0.12016745545097063,-0.06389127948893736,0.0,-0.4934823760537565
2018,S0,posterior_entropy,8,8,0,0.11524452271271668,0.0006465101664675499,0.0003427727486278782,0.1259508439335582,0.12560807118493034,4,4,0,0.2204889564974461,0.1190859742622287,0.0002990302009423512,0.33927590055873247,0.3389768703577901,0.10524443378472942,0.11843946409576114,0.0,0.4086591960554412
2018,S1,state_age,139,139,0,8.007194244604317,5.0,2.0,8.5,6.5,1,1,0,4.0,4.0,4.0,4.0,0.0,-4.007194244604317,-1.0,-0.10071942446043165,
2018,S1,bars_since_transition,137,139,2,6.978102189781022,4.0,1.0,7.0,6.0,1,1,0,3.0,3.0,3.0,3.0,0.0,-3.978102189781022,-1.0,-0.10218978102189781,
